pitch,Onset (ms),velocity,instrument,Measure
43,108.75982298766502,0.4409448818897638,,1
50,171.2598229876651,0.4251968503937008,,1
59,280.19973228471724,0.4803149606299212,,1
57,462.08181845251755,0.4881889763779528,,1
59,637.3992787699781,0.5118110236220472,,1
50,851.401546343674,0.3858267716535433,,1
59,976.401546343674,0.4566929133858268,,1
50,1162.5126574547855,0.3779527559055118,,1
43,1342.5013195863044,0.4015748031496063,,1
50,1507.1781903346039,0.3779527559055118,,1
59,1661.7643581350574,0.4645669291338583,,1
57,1864.3777368198644,0.4881889763779528,,1
59,2042.977510062495,0.5196850393700787,,1
50,2247.4843127835834,0.3858267716535433,,1
59,2376.95710189923,0.4724409448818897,,1
50,2589.020593962722,0.3858267716535433,,1
43,2743.4083490647627,0.4173228346456692,,2
52,2935.976376275647,0.3858267716535433,,2
60,3068.1362402212258,0.4724409448818897,,2
59,3251.5602765024046,0.4960629921259842,,2
60,3415.993383078368,0.5275590551181102,,2
52,3593.402680130522,0.4094488188976378,,2
60,3765.8800043935603,0.4960629921259842,,2
52,3984.3550610829034,0.3858267716535433,,2
43,4139.7348796770075,0.4015748031496063,,2
52,4326.639641581769,0.3858267716535433,,2
60,4452.784766298323,0.4566929133858268,,2
59,4652.314244756372,0.4881889763779528,,2
60,4830.914017999004,0.5275590551181102,,2
52,5038.504720946849,0.4015748031496063,,2
60,5160.619233418504,0.4881889763779528,,2
52,5378.499052012608,0.3858267716535433,,2
43,5508.124902352744,0.4094488188976378,,3
54,5721.378870606713,0.3858267716535433,,3
60,5846.378870606713,0.4566929133858268,,3
59,6057.89247604889,0.4803149606299212,,3
60,6210.891342262042,0.5118110236220472,,3
54,6453.578417091974,0.4173228346456692,,3
60,6547.2518864797285,0.4881889763779528,,3
54,6775.131705073834,0.3937007874015748,,3
43,6921.458235686078,0.3937007874015748,,3
54,7106.271160856146,0.3858267716535433,,3
60,7241.118099631656,0.4488188976377952,,3
59,7458.99791822576,0.4724409448818897,,3
60,7618.850525935511,0.5039370078740157,,3
54,7825.097691468391,0.4094488188976378,,3
60,7952.830117772246,0.4803149606299212,,3
54,8191.19746471102,0.3937007874015748,,3
43,8299.145310516009,0.4173228346456692,,4
55,8530.109029336872,0.3858267716535433,,4
59,8667.229210742767,0.4330708661417323,,4
57,8845.828983985397,0.4251968503937008,,4
59,9001.95710189923,0.4881889763779528,,4
55,9203.02853047066,0.4094488188976378,,4
59,9358.408349064764,0.4724409448818897,,4
